comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgxIH4YRATF1JEYnyep4AaABAg,,8OOnTV00PSc,False,@brunofilippini2462,2026-05-21T16:53:16Z,2026-05-21T16:53:16Z,2,Speriamo  il signore  lo chiami a se.....,,0,ilmessaggero,author_6318,1
UgxIH4YRATF1JEYnyep4AaABAg.AX4QgMGXhe3AX4TBmuCjd5,UgxIH4YRATF1JEYnyep4AaABAg,8OOnTV00PSc,True,@girdu8877,2026-05-21T17:15:10Z,2026-05-21T17:15:10Z,3,Brutta cosa da pensare per chiunque. Anche perché nessuno sa di se stesso quella data...,UgxIH4YRATF1JEYnyep4AaABAg,1,ilmessaggero,author_6319,0
UgzUdrGjxOantNF0yzl4AaABAg,,8OOnTV00PSc,False,@flaviocenname3329,2026-05-21T18:20:14Z,2026-05-21T18:20:14Z,1,"Segue ancora i giornali!!!!! Ah ah ah c'è  rimasto, povero Cristo. Speriamo che il signore abbia pietà di lui.",,0,ilmessaggero,author_6320,1
UgzUdrGjxOantNF0yzl4AaABAg.AX4_dKJnsRFAX4e6gGBsc9,UgzUdrGjxOantNF0yzl4AaABAg,8OOnTV00PSc,True,@girdu8877,2026-05-21T18:59:20Z,2026-05-21T18:59:20Z,1,Mi sorprendo sempre nel constatare a quante persone stia più a cuore la sorte ultraterrena degli altri piuttosto che alla propria...,UgzUdrGjxOantNF0yzl4AaABAg,1,ilmessaggero,author_6319,1
UgwqL-gEqQ_2V9jvyNp4AaABAg,,8OOnTV00PSc,False,@massimoanzeni5373,2026-05-21T20:35:43Z,2026-05-21T20:35:43Z,3,"Ma ruini quello che aveva appartamenti di 200 metri quadrati ed una collana d’ oro di un kg.??? Questi devono andare subito nella fossa…,",,0,ilmessaggero,author_2559,1
UgwQr0UWDtqYCcWP0SR4AaABAg,,8OOnTV00PSc,False,@stefano-md1bz,2026-05-21T20:42:29Z,2026-05-21T20:42:29Z,1,che smetta di leggere i giornali .,,0,ilmessaggero,author_6321,1
Ugw3FA9QRCt7XsIJp2F4AaABAg,,8OOnTV00PSc,False,@RobertoIovini,2026-05-21T20:48:13Z,2026-05-21T20:48:13Z,0,Cioè... violentare una bambina ❓,,0,ilmessaggero,author_6322,1
UgzziU2bC3_mAl4A0cZ4AaABAg,,8OOnTV00PSc,False,@peppepippo6272,2026-05-21T21:15:33Z,2026-05-21T21:15:33Z,1,C ha 190 anni Dire che può andare buon viaggio cardinaleeeee adios,,0,ilmessaggero,author_4347,1
UgyAHZ7P44fWJRcwJhN4AaABAg,,8OOnTV00PSc,False,@Massimo-yu2yh,2026-05-21T21:39:09Z,2026-05-21T21:39:09Z,3,"Pensiamo ai giovani e ai poveri. 
È vecchio e tutti dobbiamo morire",,0,ilmessaggero,author_6323,1
UgwqL-gEqQ_2V9jvyNp4AaABAg.AX4p8eiVbNiAX4x6-BY2Hw,UgwqL-gEqQ_2V9jvyNp4AaABAg,8OOnTV00PSc,True,@nicolafreschi6208,2026-05-21T21:45:15Z,2026-05-21T21:45:15Z,3,O era Bertone? 🤔,UgwqL-gEqQ_2V9jvyNp4AaABAg,1,ilmessaggero,author_119,0
